emosi,emosi_positif,emosi_negatif,sumber,rekomendasi
sangat buruk,['antusias'],"['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['gembira'],"['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['bahagia'],"['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['takjub'],"['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira']","['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'bahagia']","['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'takjub']","['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'bahagia']","['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['gembira', 'takjub']","['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['bahagia', 'takjub']","['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira', 'bahagia']",[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira', 'bahagia']",['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira', 'bahagia']",['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira', 'bahagia']",['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira', 'bahagia']",['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,"['antusias', 'gembira', 'bahagia']","['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
