Level_Emosi,Tipe_Emosi,Sumber_Emosi,Pertanyaan_Analisis
Sangat Buruk,Tenang,Sekolah,Apa yang membuat kamu merasa tenang di Sekolah? | Apa yang bisa menyebabkan perasaan tenang kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tenang? | Apa yang mempengaruhi perasaan tenang kamu di Sekolah? | Apa yang bisa kamu lakukan untuk tetap tenang saat dihadapkan pada situasi yang menegangkan di Sekolah? | Bagaimana cara kamu mempertahankan ketenangan ketika banyak hal yang harus diselesaikan di Sekolah?
Sangat Buruk,Gembira,Sekolah,"Apa yang membuat kamu merasa gembira di Sekolah? | Apa yang bisa menyebabkan perasaan gembira kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang gembira? | Apa yang mempengaruhi perasaan gembira kamu di Sekolah? | Apa yang membuat kamu merasa gembira di Sekolah, dan bagaimana kamu bisa membagikan kebahagiaan itu? | Bagaimana perasaan gembira kamu di Sekolah bisa menginspirasi orang lain?"
Sangat Buruk,Puas,Sekolah,"Apa yang membuat kamu merasa puas di Sekolah? | Apa yang bisa menyebabkan perasaan puas kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang puas? | Apa yang mempengaruhi perasaan puas kamu di Sekolah? | Ketika merasa puas dengan pencapaian di Sekolah, bagaimana kamu bisa merayakannya? | Apa yang kamu lakukan untuk mempertahankan rasa puas setelah menyelesaikan tugas di Sekolah?"
Sangat Buruk,Nyaman,Sekolah,"Apa yang membuat kamu merasa nyaman di Sekolah? | Apa yang bisa menyebabkan perasaan nyaman kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang nyaman? | Apa yang mempengaruhi perasaan nyaman kamu di Sekolah? | Apa yang membuat kamu merasa nyaman di Sekolah, dan bagaimana kamu bisa menjaga kenyamanan itu? | Ketika merasa nyaman di Sekolah, apa langkah-langkah yang kamu ambil untuk mempertahankan suasana tersebut?"
Sangat Buruk,Bergairah,Sekolah,"Apa yang membuat kamu merasa bergairah di Sekolah? | Apa yang bisa menyebabkan perasaan bergairah kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bergairah? | Apa yang mempengaruhi perasaan bergairah kamu di Sekolah? | Bagaimana kamu bisa memanfaatkan perasaan bergairah di Sekolah untuk mencapai tujuan yang lebih besar? | Apa yang membuat kamu merasa bergairah di Sekolah, dan bagaimana kamu bisa menyalurkan semangat itu ke hal positif?"
Sangat Buruk,Aneh,Sekolah,"Apa yang membuat kamu merasa aneh di Sekolah? | Apa yang bisa menyebabkan perasaan aneh kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang aneh? | Apa yang mempengaruhi perasaan aneh kamu di Sekolah? | Apa yang membuat kamu merasa aneh di Sekolah, dan bagaimana kamu bisa menerima perasaan tersebut? | Bagaimana kamu menghadapi perasaan aneh di Sekolah agar tidak mengganggu keseharianmu?"
Sangat Buruk,Euforis,Sekolah,"Apa yang membuat kamu merasa euforis di Sekolah? | Apa yang bisa menyebabkan perasaan euforis kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang euforis? | Apa yang mempengaruhi perasaan euforis kamu di Sekolah? | Ketika kamu merasa euforis di Sekolah, bagaimana kamu bisa menikmati perasaan itu dengan bijaksana? | Apa yang membuat kamu merasa euforis di Sekolah, dan bagaimana kamu bisa tetap menjaga keseimbangan emosional?"
Sangat Buruk,Tertantang,Sekolah,"Apa yang membuat kamu merasa tertantang di Sekolah? | Apa yang bisa menyebabkan perasaan tertantang kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tertantang? | Apa yang mempengaruhi perasaan tertantang kamu di Sekolah? | Bagaimana kamu bisa memanfaatkan rasa tertantang di Sekolah untuk mengembangkan dirimu lebih jauh? | Apa yang membuat kamu merasa tertantang di Sekolah, dan bagaimana kamu bisa menghadapinya dengan lebih percaya diri?"
Sangat Buruk,Penuh Harapan,Sekolah,"Apa yang membuat kamu merasa penuh harapan di Sekolah? | Apa yang bisa menyebabkan perasaan penuh harapan kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang penuh harapan? | Apa yang mempengaruhi perasaan penuh harapan kamu di Sekolah? | Ketika merasa penuh harapan di Sekolah, bagaimana kamu bisa membuat harapan itu menjadi kenyataan? | Apa yang bisa kamu lakukan untuk mempertahankan rasa penuh harapan di Sekolah?"
Sangat Buruk,Terinspirasi,Sekolah,"Apa yang membuat kamu merasa terinspirasi di Sekolah? | Apa yang bisa menyebabkan perasaan terinspirasi kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang terinspirasi? | Apa yang mempengaruhi perasaan terinspirasi kamu di Sekolah? | Apa yang menginspirasi kamu di Sekolah, dan bagaimana kamu bisa menggunakan inspirasi itu untuk mencapai tujuan? | Ketika kamu merasa terinspirasi di Sekolah, bagaimana kamu bisa mengubah inspirasi itu menjadi tindakan konkret?"
Sangat Buruk,Panik,Sekolah,"Apa yang membuat kamu merasa panik di Sekolah? | Apa yang bisa menyebabkan perasaan panik kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang panik? | Apa yang mempengaruhi perasaan panik kamu di Sekolah? | Apa yang menyebabkan kamu merasa panik di Sekolah, dan bagaimana kamu bisa menenangkan diri? | Bagaimana kamu bisa mengatasi rasa panik di Sekolah agar tidak mengganggu aktivitas lainnya?"
Sangat Buruk,Rindu,Sekolah,"Apa yang membuat kamu merasa rindu di Sekolah? | Apa yang bisa menyebabkan perasaan rindu kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang rindu? | Apa yang mempengaruhi perasaan rindu kamu di Sekolah? | Apa yang kamu rindukan di Sekolah, dan bagaimana kamu bisa mengatasi rasa rindu itu? | Ketika merasa rindu di Sekolah, apa yang bisa kamu lakukan untuk meredakan perasaan tersebut?"
Sangat Buruk,Takut,Sekolah,"Apa yang membuat kamu merasa takut di Sekolah? | Apa yang bisa menyebabkan perasaan takut kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang takut? | Apa yang mempengaruhi perasaan takut kamu di Sekolah? | Apa yang membuat kamu merasa takut di Sekolah, dan bagaimana cara kamu menghadapinya? | Bagaimana kamu bisa mengatasi ketakutan di Sekolah untuk tetap bergerak maju?"
Sangat Buruk,Senyum,Sekolah,"Apa yang membuat kamu merasa senyum di Sekolah? | Apa yang bisa menyebabkan perasaan senyum kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang senyum? | Apa yang mempengaruhi perasaan senyum kamu di Sekolah? | Apa yang membuat kamu tersenyum di Sekolah, dan bagaimana kamu bisa menjaga senyuman itu? | Bagaimana kamu bisa membuat orang lain tersenyum saat berada di Sekolah?"
Sangat Buruk,Terharu,Sekolah,"Apa yang membuat kamu merasa terharu di Sekolah? | Apa yang bisa menyebabkan perasaan terharu kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang terharu? | Apa yang mempengaruhi perasaan terharu kamu di Sekolah? | Apa yang membuat kamu terharu di Sekolah, dan bagaimana kamu bisa berbagi perasaan itu dengan orang lain? | Ketika kamu merasa terharu di Sekolah, bagaimana cara kamu mengekspresikan perasaan itu dengan tulus?"
Sangat Buruk,Bersyukur,Sekolah,"Apa yang membuat kamu merasa bersyukur di Sekolah? | Apa yang bisa menyebabkan perasaan bersyukur kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bersyukur? | Apa yang mempengaruhi perasaan bersyukur kamu di Sekolah? | Apa yang membuat kamu merasa bersyukur di Sekolah, dan bagaimana kamu bisa menunjukkan rasa terima kasih itu? | Bagaimana cara kamu meningkatkan rasa bersyukur dalam kehidupan sehari-hari di Sekolah?"
Sangat Buruk,Malu,Sekolah,Apa yang membuat kamu merasa malu di Sekolah? | Apa yang bisa menyebabkan perasaan malu kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang malu? | Apa yang mempengaruhi perasaan malu kamu di Sekolah?
Sangat Buruk,Tersenyum,Sekolah,Apa yang membuat kamu merasa tersenyum di Sekolah? | Apa yang bisa menyebabkan perasaan tersenyum kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tersenyum? | Apa yang mempengaruhi perasaan tersenyum kamu di Sekolah?
Sangat Buruk,Terkejut,Sekolah,Apa yang membuat kamu merasa terkejut di Sekolah? | Apa yang bisa menyebabkan perasaan terkejut kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang terkejut? | Apa yang mempengaruhi perasaan terkejut kamu di Sekolah?
Sangat Buruk,Gugup,Sekolah,Apa yang membuat kamu merasa gugup di Sekolah? | Apa yang bisa menyebabkan perasaan gugup kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang gugup? | Apa yang mempengaruhi perasaan gugup kamu di Sekolah?
Buruk,Kecewa,Sekolah,Apa yang membuat kamu merasa kecewa di Sekolah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang kecewa? | Apa yang mempengaruhi perasaan kecewa kamu di Sekolah? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Sekolah? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Sekolah?
Buruk,Frustrasi,Sekolah,"Apa yang membuat kamu merasa frustrasi di Sekolah? | Apa yang bisa menyebabkan perasaan frustrasi kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang frustrasi? | Apa yang mempengaruhi perasaan frustrasi kamu di Sekolah? | Bagaimana kamu mengatasi rasa frustrasi saat mengalami hambatan di Sekolah? | Ketika merasa frustrasi di Sekolah, apa yang bisa kamu lakukan untuk mengurangi perasaan itu?"
Buruk,Bingung,Sekolah,"Apa yang membuat kamu merasa bingung di Sekolah? | Apa yang bisa menyebabkan perasaan bingung kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bingung? | Apa yang mempengaruhi perasaan bingung kamu di Sekolah? | Jika kamu merasa bingung tentang situasi di Sekolah, apa yang kamu lakukan untuk mencari kejelasan? | Bagaimana kamu bisa mengatasi kebingungan di Sekolah agar bisa mengambil keputusan dengan lebih baik?"
Buruk,Bahagia,Sekolah,"Apa yang membuat kamu merasa bahagia di Sekolah? | Apa yang bisa menyebabkan perasaan bahagia kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bahagia? | Apa yang mempengaruhi perasaan bahagia kamu di Sekolah? | Ketika kamu merasa bahagia di Sekolah, apa yang ingin kamu lakukan untuk membagikan kebahagiaan itu? | Apa yang membuat kamu merasa bahagia di Sekolah, dan bagaimana kamu bisa menjaga perasaan itu?"
Buruk,Cemas,Sekolah,"Apa yang membuat kamu merasa cemas di Sekolah? | Apa yang bisa menyebabkan perasaan cemas kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang cemas? | Apa yang mempengaruhi perasaan cemas kamu di Sekolah? | Apa yang membuat kamu merasa cemas saat berada di Sekolah, dan bagaimana kamu menghadapinya? | Bagaimana cara kamu mengurangi kecemasan saat menghadapi tugas atau ujian di Sekolah?"
Buruk,Marah,Sekolah,"Apa yang membuat kamu merasa marah di Sekolah? | Apa yang bisa menyebabkan perasaan marah kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang marah? | Apa yang mempengaruhi perasaan marah kamu di Sekolah? | Ketika marah di Sekolah, bagaimana kamu bisa mengontrol perasaan itu agar tidak merugikan diri sendiri? | Apa yang bisa kamu lakukan untuk meredakan rasa marah saat situasi di Sekolah membuatmu kesal?"
Buruk,Kesal,Sekolah,"Apa yang membuat kamu merasa kesal di Sekolah? | Apa yang bisa menyebabkan perasaan kesal kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang kesal? | Apa yang mempengaruhi perasaan kesal kamu di Sekolah? | Jika merasa kesal di Sekolah, apa cara terbaik yang kamu lakukan untuk meredakan perasaan itu? | Bagaimana kamu mengelola rasa kesal saat situasi tidak berjalan sesuai yang diharapkan di Sekolah?"
Buruk,Sedih,Sekolah,"Apa yang membuat kamu merasa sedih di Sekolah? | Apa yang bisa menyebabkan perasaan sedih kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang sedih? | Apa yang mempengaruhi perasaan sedih kamu di Sekolah? | Apa yang membuat kamu merasa sedih di Sekolah, dan bagaimana cara kamu menghadapinya? | Bagaimana kamu bisa mengatasi perasaan sedih di Sekolah agar tidak mempengaruhi keseharianmu?"
Buruk,Tertarik,Sekolah,"Apa yang membuat kamu merasa tertarik di Sekolah? | Apa yang bisa menyebabkan perasaan tertarik kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tertarik? | Apa yang mempengaruhi perasaan tertarik kamu di Sekolah? | Ketika kamu merasa tertarik dengan sesuatu di Sekolah, bagaimana kamu bisa mengeksplorasi lebih lanjut minat tersebut? | Apa yang membuat kamu merasa tertarik di Sekolah, dan bagaimana kamu bisa memanfaatkannya untuk perkembangan diri?"
Buruk,Optimis,Sekolah,"Apa yang membuat kamu merasa optimis di Sekolah? | Apa yang bisa menyebabkan perasaan optimis kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang optimis? | Apa yang mempengaruhi perasaan optimis kamu di Sekolah? | Bagaimana kamu bisa mempertahankan perasaan optimis saat menghadapi tantangan di Sekolah? | Apa yang membuat kamu merasa optimis di Sekolah, dan bagaimana kamu menjaga pandangan positif tersebut?"
Buruk,Tenang,Sekolah,Apa yang membuat kamu merasa tenang di Sekolah? | Apa yang bisa menyebabkan perasaan tenang kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tenang? | Apa yang mempengaruhi perasaan tenang kamu di Sekolah? | Apa yang bisa kamu lakukan untuk tetap tenang saat dihadapkan pada situasi yang menegangkan di Sekolah? | Bagaimana cara kamu mempertahankan ketenangan ketika banyak hal yang harus diselesaikan di Sekolah?
Buruk,Gembira,Sekolah,"Apa yang membuat kamu merasa gembira di Sekolah? | Apa yang bisa menyebabkan perasaan gembira kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang gembira? | Apa yang mempengaruhi perasaan gembira kamu di Sekolah? | Apa yang membuat kamu merasa gembira di Sekolah, dan bagaimana kamu bisa membagikan kebahagiaan itu? | Bagaimana perasaan gembira kamu di Sekolah bisa menginspirasi orang lain?"
Buruk,Puas,Sekolah,"Apa yang membuat kamu merasa puas di Sekolah? | Apa yang bisa menyebabkan perasaan puas kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang puas? | Apa yang mempengaruhi perasaan puas kamu di Sekolah? | Ketika merasa puas dengan pencapaian di Sekolah, bagaimana kamu bisa merayakannya? | Apa yang kamu lakukan untuk mempertahankan rasa puas setelah menyelesaikan tugas di Sekolah?"
Buruk,Nyaman,Sekolah,"Apa yang membuat kamu merasa nyaman di Sekolah? | Apa yang bisa menyebabkan perasaan nyaman kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang nyaman? | Apa yang mempengaruhi perasaan nyaman kamu di Sekolah? | Apa yang membuat kamu merasa nyaman di Sekolah, dan bagaimana kamu bisa menjaga kenyamanan itu? | Ketika merasa nyaman di Sekolah, apa langkah-langkah yang kamu ambil untuk mempertahankan suasana tersebut?"
Buruk,Bergairah,Sekolah,"Apa yang membuat kamu merasa bergairah di Sekolah? | Apa yang bisa menyebabkan perasaan bergairah kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bergairah? | Apa yang mempengaruhi perasaan bergairah kamu di Sekolah? | Bagaimana kamu bisa memanfaatkan perasaan bergairah di Sekolah untuk mencapai tujuan yang lebih besar? | Apa yang membuat kamu merasa bergairah di Sekolah, dan bagaimana kamu bisa menyalurkan semangat itu ke hal positif?"
Buruk,Aneh,Sekolah,"Apa yang membuat kamu merasa aneh di Sekolah? | Apa yang bisa menyebabkan perasaan aneh kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang aneh? | Apa yang mempengaruhi perasaan aneh kamu di Sekolah? | Apa yang membuat kamu merasa aneh di Sekolah, dan bagaimana kamu bisa menerima perasaan tersebut? | Bagaimana kamu menghadapi perasaan aneh di Sekolah agar tidak mengganggu keseharianmu?"
Buruk,Euforis,Sekolah,"Apa yang membuat kamu merasa euforis di Sekolah? | Apa yang bisa menyebabkan perasaan euforis kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang euforis? | Apa yang mempengaruhi perasaan euforis kamu di Sekolah? | Ketika kamu merasa euforis di Sekolah, bagaimana kamu bisa menikmati perasaan itu dengan bijaksana? | Apa yang membuat kamu merasa euforis di Sekolah, dan bagaimana kamu bisa tetap menjaga keseimbangan emosional?"
Buruk,Tertantang,Sekolah,"Apa yang membuat kamu merasa tertantang di Sekolah? | Apa yang bisa menyebabkan perasaan tertantang kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tertantang? | Apa yang mempengaruhi perasaan tertantang kamu di Sekolah? | Bagaimana kamu bisa memanfaatkan rasa tertantang di Sekolah untuk mengembangkan dirimu lebih jauh? | Apa yang membuat kamu merasa tertantang di Sekolah, dan bagaimana kamu bisa menghadapinya dengan lebih percaya diri?"
Buruk,Penuh Harapan,Sekolah,"Apa yang membuat kamu merasa penuh harapan di Sekolah? | Apa yang bisa menyebabkan perasaan penuh harapan kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang penuh harapan? | Apa yang mempengaruhi perasaan penuh harapan kamu di Sekolah? | Ketika merasa penuh harapan di Sekolah, bagaimana kamu bisa membuat harapan itu menjadi kenyataan? | Apa yang bisa kamu lakukan untuk mempertahankan rasa penuh harapan di Sekolah?"
Buruk,Terinspirasi,Sekolah,"Apa yang membuat kamu merasa terinspirasi di Sekolah? | Apa yang bisa menyebabkan perasaan terinspirasi kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang terinspirasi? | Apa yang mempengaruhi perasaan terinspirasi kamu di Sekolah? | Apa yang menginspirasi kamu di Sekolah, dan bagaimana kamu bisa menggunakan inspirasi itu untuk mencapai tujuan? | Ketika kamu merasa terinspirasi di Sekolah, bagaimana kamu bisa mengubah inspirasi itu menjadi tindakan konkret?"
Buruk,Panik,Sekolah,"Apa yang membuat kamu merasa panik di Sekolah? | Apa yang bisa menyebabkan perasaan panik kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang panik? | Apa yang mempengaruhi perasaan panik kamu di Sekolah? | Apa yang menyebabkan kamu merasa panik di Sekolah, dan bagaimana kamu bisa menenangkan diri? | Bagaimana kamu bisa mengatasi rasa panik di Sekolah agar tidak mengganggu aktivitas lainnya?"
Buruk,Rindu,Sekolah,"Apa yang membuat kamu merasa rindu di Sekolah? | Apa yang bisa menyebabkan perasaan rindu kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang rindu? | Apa yang mempengaruhi perasaan rindu kamu di Sekolah? | Apa yang kamu rindukan di Sekolah, dan bagaimana kamu bisa mengatasi rasa rindu itu? | Ketika merasa rindu di Sekolah, apa yang bisa kamu lakukan untuk meredakan perasaan tersebut?"
Buruk,Takut,Sekolah,"Apa yang membuat kamu merasa takut di Sekolah? | Apa yang bisa menyebabkan perasaan takut kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang takut? | Apa yang mempengaruhi perasaan takut kamu di Sekolah? | Apa yang membuat kamu merasa takut di Sekolah, dan bagaimana cara kamu menghadapinya? | Bagaimana kamu bisa mengatasi ketakutan di Sekolah untuk tetap bergerak maju?"
Buruk,Senyum,Sekolah,"Apa yang membuat kamu merasa senyum di Sekolah? | Apa yang bisa menyebabkan perasaan senyum kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang senyum? | Apa yang mempengaruhi perasaan senyum kamu di Sekolah? | Apa yang membuat kamu tersenyum di Sekolah, dan bagaimana kamu bisa menjaga senyuman itu? | Bagaimana kamu bisa membuat orang lain tersenyum saat berada di Sekolah?"
Buruk,Terharu,Sekolah,"Apa yang membuat kamu merasa terharu di Sekolah? | Apa yang bisa menyebabkan perasaan terharu kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang terharu? | Apa yang mempengaruhi perasaan terharu kamu di Sekolah? | Apa yang membuat kamu terharu di Sekolah, dan bagaimana kamu bisa berbagi perasaan itu dengan orang lain? | Ketika kamu merasa terharu di Sekolah, bagaimana cara kamu mengekspresikan perasaan itu dengan tulus?"
Buruk,Bersyukur,Sekolah,"Apa yang membuat kamu merasa bersyukur di Sekolah? | Apa yang bisa menyebabkan perasaan bersyukur kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bersyukur? | Apa yang mempengaruhi perasaan bersyukur kamu di Sekolah? | Apa yang membuat kamu merasa bersyukur di Sekolah, dan bagaimana kamu bisa menunjukkan rasa terima kasih itu? | Bagaimana cara kamu meningkatkan rasa bersyukur dalam kehidupan sehari-hari di Sekolah?"
Buruk,Malu,Sekolah,Apa yang membuat kamu merasa malu di Sekolah? | Apa yang bisa menyebabkan perasaan malu kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang malu? | Apa yang mempengaruhi perasaan malu kamu di Sekolah?
Buruk,Tersenyum,Sekolah,Apa yang membuat kamu merasa tersenyum di Sekolah? | Apa yang bisa menyebabkan perasaan tersenyum kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tersenyum? | Apa yang mempengaruhi perasaan tersenyum kamu di Sekolah?
Buruk,Terkejut,Sekolah,Apa yang membuat kamu merasa terkejut di Sekolah? | Apa yang bisa menyebabkan perasaan terkejut kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang terkejut? | Apa yang mempengaruhi perasaan terkejut kamu di Sekolah?
Buruk,Gugup,Sekolah,Apa yang membuat kamu merasa gugup di Sekolah? | Apa yang bisa menyebabkan perasaan gugup kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang gugup? | Apa yang mempengaruhi perasaan gugup kamu di Sekolah?
