No,pesan,label
117,udah saya ruibah bambang,marah
118,Minta di sundul,marah
119,Manfaatkan teman kal,marah
120,Haikal jelek,marah
121,"""nomornya harus sama yang ada disini di wa ini bambang""",marah
122,kalau berbeda ya gak bisa,marah
123,gimanas ih,marah
124,emang robotnya peramal atau penyihir,marah
125,nomor HP kok banyak bener udah kayak SITI NURBAYA aja,marah
126,saya mau tutup ini kuliah daring,marah
127,"""sbr bos jangan marah sm netizen""",marah
128,Ko saya gaada di list,marah
129,kamu kemana aja,marah
130,tuh muncul kan yang gak aktif,marah
131,"""Peraturan mulai minggu depan saya tidak akan menerima perubahan absensi apabila tidak aktf di GRUB""",marah
132,baca gak aturannya,marah
133,coba infokan apa kesalahan si BAMBANG,marah
134,kamu kemana>>>,marah
135,Nomor nya 628.....,marah
136,ia tp kamu kemana,marah
137,ntr saya intruksikan robotnya memantau kalian dimana saja,marah
138,hadeuh,marah
139,inilah robot kami ciptkan agar tdk dikibuli sama netizen,marah
140,curiga saya berkoar koar disini kalian pada gak fokus ya,marah
141,Hehehehe,senang
142,Selesai pak,senang
143,Sip sampe berita acara no problemo hehe,senang
144,sekarang ke siap sama milih kelas nya ya,senang
145,Wkwkwkwkwk,senang
146,Ada .. Haha,senang
147,"""eta sih ary pak wkwkkw""",senang
148,Dangdutan lg Kalo gt,senang
149,Wkwkwk,senang
150,Teung udud beliin dong,senang
151,Woke pak,senang
152,DIKIT LAGI HEYEAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHH,senang
153,Wkwkwkw,senang
154,Oiya lupa nambah keyword wkwkw,senang
155,Ganti siap bak wkwkwk,senang
156,abis itu selamat menikmati liburan,senang
157,haaaaiiiii,senang
158,kalo stikernya ga lucu ga ke absen kemaren,senang
159,Haiiii,senang
160,Nama whatsapp sekarang boleh diganti bebas hehe,senang
161,makasih iteung lapyu,senang
162,ouh sip,senang
163,Jadi pas bilang selesai suruh tunggu sebentar wkwkkw,senang
164,ntap bagus,senang
165,berarti ga perlu pake pandas juga gapapa ya,senang
166,kasih ga,senang
167,anda telat. Hahahaha,senang
168,Siap pak sdh,senang
169,Makasih vi,senang
170,sama sama,senang
171,Nama grupnya wkwkwk,senang
172,Yuk ngampus,senang
173,oje sip. Wkwkwk,senang
174,iya jadi kita siang ini ke kampus udud dulu,senang
175,Nah berenti,senang
176,kalo ada yg mau didiskusikan silahkan,senang
177,Eaaa,senang
178,Standar motor :v,senang
179,Muka lo standar :V,senang
180,Hahaha,senang
181,New stiker is cominggggg,senang
182,hehehhe,senang
183,Hhhhaaa.....,senang
184,Tidak bersajak barudak akwoakwk,senang
185,Owksowkwo,senang
186,Akwoakka,senang
187,ngakak wkwk,senang
188,:v,senang
189,Wkwkwk... Helmi kesenangan :v,senang
190,Haha,senang
191,"""Buah semangka buah manggis ga nyangka eni manis :v""",senang
192,Terimakasih dhann,senang
193,Wah dpt hadiah,senang
194,Wahhhh,senang
195,"""Waduhhh siap pak…""",senang
196,Haha ngakak weeii,senang
197,Itu dia bapak buat 26 hehe,senang
198,wkwkwkwk,senang
199,Mantapppppp otomatisss,senang
200,hahaha,senang
201,Tuntutan pekerjaan iteung pak wkwkw,senang
202,Akhirnya ada hehe,senang
203,Alhamdulillah sudah ada pak,senang
204,sudah ada semuanya namanya,senang
205,Hahaha,senang
206,wkwk,senang
207,Nomor rekening kali ya akaowka,senang
208,Akwoakka jaringan kentang,senang
209,Eh salah bot :v,senang
210,ngelist sendiri :v,senang
211,Gegeh V,senang
212,Udah ada :v,senang
213,Gk Ngehargai si iteung dia :v,senang
214,Makasih bapaa,senang
215,Dia bot juga mungkin :v,senang
216,"""Jangan pak nanti gak bisa mantap mantap wkwkwkwk""",senang
217,Makasih ya banyak pak,senang
218,Haha suka sekali anda,senang
219,Haha ngakakkk,senang
220,Mari kita laksanakan kewajiban,senang
221,Hehe iyaa pak,senang
222,Wkwkkw siap pak,senang
223,Nah gitu,senang
224,Jd kan simple,senang
225,wkwkwkw,senang
226,Takut dia pak haha,senang
227,Silahkan tidur saja pak hehe,senang
228,hahaha…,senang
229,Hahahaha,senang
230,Masih bisa bercanda dong wkwk,senang
231,Malah nnya nasi padang wkwk,senang
232,Hahahahah... Awas zhunun,senang
233,Itu tutor terlengkap wkwk,senang
234,kabur satu lagi wkwkwk,senang
235,Tq,senang
236,Keras bah. Hahaha,senang
237,Wkwkwkwk,senang
238,Terus wae sampe si angga begang ini teh? Wkwk,senang
239,Wkwk..,senang
240,Baik Pak haha,senang
241,"""Kuy lah mikir keras biar lbh go global wkwk""",senang
242,Hahahah,senang
243,Anjay hahaha,senang
244,"""Iya Malam itu buat Kita lbh produktif sebenarnya..wkwkwk""",senang
245,"""Alhamdulillah janji kita buat prodi D4 TI sudab terkabulkan sedikitnya pak yusril sudah senyum bahagia""",senang
246,Yaudah pak eksekusi,senang
247,Sepakat,senang
248,Biar Kita bisa mikir menguasai COT .. Wkwk,senang
249,Walaupun ntr duitnya masih receh,senang
250,Wkwkwk.. harum dan tebal bedak,senang
251,bisa tinggal dibuat aja wkwkwkwk,senang
252,Good,senang
253,Perlu bandwidth sbrh ieu? Haha,senang
254,"""Bentar pa nanti angga join wc dulu hehehe""",senang
255,kalo ada kudeta mati aja ya ... Wkwkwkwk,senang
256,Quiz di vl error pak wkwkwk,senang
257,Wkwkw,senang
258,wah diamuk masa tuh lagi. Wkwkwk,senang
259,Siap bu. Terimakasih bu,senang
260,Kok jadi heru suroso wkwkwk,senang
261,Tagnya berubah wkwkwk,senang
262,Musti ganti semua wkwkwkwk,senang
263,Kok heru santoso ya wkwkwk,senang
264,Bukan ngeclick ke absensi wkwkwkwkwkwk,senang
265,Musnah si heru,senang
266,maneh keasupan jurigg haaa,senang
267,Oiya lupa close make commit wkwkwk,senang
268,Baik bapak... Akan di kerjakan…,senang
269,"""Hehehe iyaah pak mungkin efek rumah beling :v""",senang
270,alhamdulillah,senang
271,Haha dasarr,senang
272,Yuk istirahat dan bobok syantik,senang
273,Wow kereeennn,senang
274,Iya simpan didatabase,senang
275,Wesdew jadi wkwkwk,senang
276,Huahahahahahah,senang
277,Bentar udah nemu masalahnya hehehe,senang
278,Semakin panjang semakin bagus wkwkwk,senang
279,Nanti tambah harddisk wkwkwkwk,senang
280,Tenang pak server iteung bukan kaleng kaleng wkwkwkw,senang
281,Kan angga ga bisa update pak,takut
282,Bentar pak angga invite si iteung ke kelas awangga,takut
283,tidak pak,takut
284,Yabg betul,takut
285,Ih lucu,takut
286,Jd bingung itu,takut
287,berarti sekitar kosan anak2,takut
288,Owh jd kita kekampus ini,takut
289,oh ini index nya angga belum benerin,takut
290,Sok atuh,takut
291,Yg penting self,takut
292,Gak ada yang percaya deh,takut
293,Baik bapakk...,takut
294,Sudah dilaksanakan bapak,takut
295,Mohon maaf pak saya baru merubah nomor handphone di SIAP,takut
296,Modul sudah siap,takut
297,Baik pak segera laksanakan,takut
298,Siap pakk,takut
299,diulang lagi gpp kan,takut
300,Pake 62 kan pak,takut
301,Format udah bener,takut
302,Iya pak otw saya cek,takut
303,Iya pak sudah saya ganti,takut
304,Nomornya pak ga sama,takut
305,Iya pak maafkan saya,takut
306,biar kayak voldemort,takut
307,Abis nganter ortu pak,takut
308,"""Maaf pak tadi pas saya da gantisaya pergi mandi pak""",takut
309,Kalau di kaderisasi pas kuliah nasib temen saya gimana pak,takut
310,Maaf pak da saya ganti,takut
311,Udah aku tadi,takut
312,Karna tadi saya salah masukan No pak,takut
313,Iya pak mohon maaf apabila mengganggu bapak,takut
314,Di rumah pak,takut
315,"""terimakasih bapak atas waktu dan arahannya dan mohon maaf bapak kalo kelas kami banyak salah""",takut
316,Takut iteung masih dalam perbaikan,takut
317,Baik bu terima kasih sebelumnya bu,takut
318,Angga udah setting nomor loh pak,takut
319,curiga iteung kerasukan arwanya heru,takut
320,Baikk pak siap laksanakan,takut
321,ingatnya username dan passwordnya saya yang nguisu,takut
322,gak ada pak,takut
323,"""Trus identitas dibgrub wa kan harus NPM-Nama Mahasiswa perlu gak""",takut
324,Nanti saya coba ulik ulik pak wkwkwk,takut
325,Takut ga muat,takut
326,Angga saran saya terlalu banyak yg disimoan itu memoengaruhi load,takut
327,Masih make nomor angga pak wkwkwkw,takut
328,Tunggu pak,takut
329,Baik pak. Maaf pak beberapa saya templatenya sama. Segera akan saya ganti pak,takut
330,Duh ampun iteung,takut
331,Belum bu hhehe,takut
332,Yg saya sudah di ubah no handphone nya,takut
333,Enggak yaampun wkwk,takut
334,Test aja hehe,takut
335,Hehe iya buk maaf,takut
336,Sudah kok pak. Sudah saya update dari beberapa bulan yang lalu,takut
337,Lagi dibenerin sama dinda pak,takut
338,Aprill udahh,takut
339,Sbntar ya apa pake spasi atau engga,takut
340,Password ny apa ya bu?,takut
341,sudah bapaak,takut
342,Karena kalau terjadi record yg sama maka akan terjadi redudansi data bu,takut
343,Sudahh ibu,takut
344,Apakah dianjurkan download sap 7.6 pak?,takut
345,ini saya lagi merubah pak,takut
346,Maaf ibu telat,takut
347,saya ternyata sudah bu hehe,takut
348,gt aja kali y,takut
349,"""Maaf bukode matkul CRM apa bu?""",takut
350,Tapi malah gk bisa isi yg basic data,takut
351,maaf pak,takut
352,"""Maaf Bu saya belum bisa masuk karena masih incorrect Bu""",takut
353,"""Bu maaf izin bertanya",
354,"Pada rencana strategis kan itu poin nya mewujudkan misi mksd nya mewujudkan misi tuh bu langsung mengembangkan semua rencana2 dan visi misi nya bu atau ada seperti poin2 nya lg kaya rencana oprasional?""",takut
355,"""Maaf ibuapakah kami langsung jawab sekarang pertanyaannya atau lanjut kelompok selanjutnya dulu yg prsntasi?""",takut
356,"""Ibu punten mau nanyaa kalo kaya gini gimana yaaa""",takut
357,klo sudah selesai boleh di logout pak?,takut
358,Ibu maaf mau tanya dibagian sales: sales org.1 data yg keluar hanya segitu bu:( gmn ya bu:(,takut
359,udah masuk zona merah pak disini,takut
360,"""maafkan tapi kedengeran kan?""",takut
361,"""Mau nanya vn boleh gak?""",takut
362,"maaf salah..""",takut
363,duh ey nyieun masalah deui,takut
364,"""Maaf bu typo maksudnya baik hehe""",takut
365,eh maaf bu ke capslock,takut
366,"""Minta contoh excel yang bener nya dong pak saya masih takut salah""",takut
367,"""Pak untuk tugas deadline sampai jam berapa ? Terima kasih""",takut
368,"""Bu saya izin bertanya apakah dalam perencanaan kita wajib memikirkan tentang waktu?""",takut
369,sudahh,takut
370,Yamaap sayang,takut
371,Ini udah bener belum Bu?,takut
372,Kayak gini lansung save bu,takut
373,Iya gais bantubelum paham bu,takut
374,Apakah ini sudah benar bu?,takut
375,"""Maaf bu kalau seperti ini berarti sudah ya bu?""",takut
376,Disebelah mananya bu yg harus saya enter? Takut error :(,takut
377,"""Belum bu bagimana bu? Maaf bu""",takut
378,Iya bu maaf,takut
379,Iya kah? Maap maap,takut
380,Maaf iteung jgn pundung,takut
381,Maaf bu ga bermaksud,takut
382,Bu maaf mau tanya yg inii,takut
383,Ini bisa di ulangi lagi ga?kurang di mengerti soalnya,takut
384,Oiyayaa gabaca:),takut
385,Ohh iya maaf bu lupa pencet,takut
386,mafkan saya dengan ketidak tahun ini...,takut
387,jangan hujat saya,takut
388,"""Iya bu kenapa?""",takut
389,Aduhh,takut
390,Ibu ini maksudnya 15840 kan ya bu? Atau bukan bu?,takut
391,Masih memahami pak,takut
392,Gpp kan bu ?,takut
393,"""Bu maaf kurang jelas 09 didapat dari mana?""",takut
394,hasilnya koma pak gapapa?,takut
395,maaf bu jadi punya saya gimana ?,takut
396,Ulang lg aja nih?,takut
397,"""Ibuu maksud dari merumuskan keadaan saat ini itu yg gimana??""",takut
398,Maafkan ya td ga teliti,takut
399,Ini tugas saya bu maaf terlambat Bu,takut
400,Bisa di ulangi lg ga pa?,takut
401,Sudah ada semua pak,takut
402,Kita mualinya buakan 14.40 pak?,takut
403,Bu kalau sudah langsung enter bu?,takut
404,kalo sudah di enter aja bu?,takut
405,"""Di enter engk muncul"""" bu""",takut
406,Bu saya setelah di enter seperti ini,takut
407,eh boleh nanya 2x gak? kalau boleh aku mau:(,takut
408,Ini diback ya bu?,takut
409,Klo dibuat paragraf boleh bu?,takut
410,Demi allah pak hp saya nge lag tadiii maaff pakk,takut
411,sudah 62 pak,takut
412,Nanti kalo salah insert gimana pa,takut
413,Bu berikan kami waktu berdiskusi dlu bu,takut
414,eh iya maaf bu salah,takut
415,Bu maaf gambar nya kurang jelas bu,takut
416,"""boleh selama lockdown sy jg jadi takut mau potong rambut""",takut
417,Sorry sorry kirain udah semua,takut
418,"""Saya izin capture boleh pak?""",takut
419,Enggak ada pak,takut
420,Eh salah,takut
421,"""Maaf bu ini diketik apa di tulis di kertas?""",takut
422,Dikit lagi pak,sedih
423,Soalnya kalo besom dia bikin pertemuan baru lagi,sedih
424,yang unyu dong,sedih
425,Belum angga coba,sedih
426,berati belum input ke siap ya?,sedih
427,Algonya angga ubah,sedih
428,Tinggal bikin getawaitingmessage aja sih pak,sedih
429,Yg lain ga keinput,sedih
430,bentar saya bukain. kasian kali,sedih
431,Kasian,sedih
432,spi iteung punya dendam sama mu ko,sedih
433,Ya pak kok nggak msuk,sedih
434,huftttt,sedih
435,aduh udah dikasih tau di grup kelas pak :(,sedih
436,belum pakkk oni sama anam,sedih
437,ok,sedih
438,lupa,sedih
439,"""Sudah pak mohon maaf tapi di siap saya masih tertunda status nya pak""",sedih
440,Sudah menghubungi bauk juga untuk mengaftifkan tetapi hanya di read saja,sedih
441,"""Karena waktu itu saya cuti pak dan saya belum ada di perwalian pak jadi mata kuliah mengulang saya masih di tunda pak di siap""",sedih
442,oh sepertinya harus segera di selesaikan sebelum bermasalah besar,sedih
443,Dia kmrin cuti,sedih
444,"""Ajarin akooo itu teh tahapan selanjutnya apoooo""",sedih
445,Bapak dimana,sedih
446,Belom pak,sedih
447,yah kirain Iteung mau pantun,sedih
448,Iteung aku ganteng gak ?,sedih
449,Yah :(,sedih
450,ya maaf,sedih
451,Nanti minta sama pak roni buat selesai lagi,sedih
452,Nom lupa :(,sedih
453,pantun malah kekirim dluan:(,sedih
454,Hujan weh,sedih
455,Iteung nggak peka :(,sedih
456,fitnah:(,sedih
457,Maaf pak sinyal kurang stabil hehe,sedih
458,Sad :â€™,sedih
459,Maaf pak. Koneksi internet ku msh buruk,sedih
460,ke delete pesanntya disaya,sedih
461,Lgi proses bapak,sedih
462,hayuuu siapa lagi yang belum,sedih
463,Nama saya gak ada pak,sedih
464,kasian robotnya masih SD dia belum kuliah,sedih
465,Nama saya masih ga ada pak,sedih
466,Sama saya jga pak,sedih
467,Saya masi belum ada pak:(,sedih
468,Saya masih belum pak,sedih
469,Bapaa saya gaada,sedih
470,Chrome saya berubah jadi dinosaurus :(,sedih
471,Emang segitu pak,sedih
472,:((,sedih
473,Yallah pak saya ke skip :(,sedih
474,Saya juga pak,sedih
475,Klw no hp udah pak,sedih
476,tolong jangan halangin saya,sedih
477,Pak jangan pak :(,sedih
478,Nanti yang ngajar kita siapa:(,sedih
479,Saya kang kok gk di absem,sedih
480,Pak maaf nama saya juga belum ada di absen pak,sedih
481,Tadi saya ada pak cuma pas waktu kelas berakhir no yang saya gunakan habis paketnya pak,sedih
482,Tapi pak dari tadi saya mengikuti arahan bapa pak,sedih
483,Saya sudah mengisi No cuma ada kesalahan pak saya pikir yang di masukan No yang aktif ternyata No wa pak mohon maaf pak,sedih
484,Saya memperhatikan pak saya sudah mengikuti arahan bapa,sedih
485,Pak mohon maaf jadi absen saya bagaimana ya pak?,sedih
486,Maaf pak saya belum terdaftar pak,sedih
487,Tolong rawat dia segera,sedih
488,HatiÂ² di jalan pak,sedih
489,Au ah gelap :(,sedih
490,Konotasi dan kosakata nya kurang pak,sedih
491,Astaghfirullah daritadi dong :(,sedih
492,heuheu,sedih
493,begini bu,sedih
494,sudah dimasukkan jg bu nomor po nya,sedih
495,namun tidak muncul bu,sedih
496,Solusi nya bagaimana ya bu,sedih
497,Bu nisa slow respond lagi wkwkwkw,sedih
498,Kodingannya emang ada yg error ini,sedih
499,Kemaren sama kang ari menunya cuma dikasih 2 pak,sedih
500,Waktu itu angga bikinnya -1 index buat clickny,sedih
501,gak usah di kirim di repo saya,sedih
502,"""bapak apakah tidak bisa memakai software lain selain visio ?""",sedih
503,Belum saya rapihkan pak,sedih
504,4 Bapak :),sedih
505,"""lumayan panjang query nya kalu mau mencari dia mengulang atau gak dan ribet kasian ntr iteungnya stress""",sedih
506,loadnya lama,sedih
507,Soalnya masih tersugesti dgn iteunggggg- yg versi lama,sedih
508,Ingat server kemmouannya terbatas,sedih
509,Hmmm oke pak,sedih
510,Sbr ya angga,sedih
511,Cuma kita ada batasanya,sedih
512,Jatuh Pak tidurnya terlalu brutal,sedih
513,Yah gung,sedih
514,Maaf pak emang belum bagus bahasa inggrisnya,sedih
515,Belum paham bahasa sunda pak,sedih
516,Bukan juga pak,sedih
517,Baik pak. Nanti sebagian saya ganti ke sunda,sedih
518,Saya pak sama rekan saya kurnia,sedih
519,Seriusan bang,sedih
520,Parah abang ini,sedih
521,Mhn dimaafkan ya kl bahasanya kacaw,sedih
522,Kacau banget iteung :(,sedih
523,Karunya teuing iteung kelelahan,sedih
524,"""Maaf bu sebelumnya prita kurang paham bu""",sedih
525,Aduh sama euy,sedih
526,Hmm:)),sedih
527,Sama nunggu revisian dari dospem,sedih
528,Cuman diread:)),sedih
529,"""jangan bu ini kan minggu istrahat dulu""",sedih
530,Duhhhh,sedih
531,Aku mah cowo haha,sedih
532,Kenapa Sedih Iteung,sedih
533,Sedih kali:(,sedih
534,Aduh si iteung ih,sedih
535,Kamu yang datenng sendiri:(,sedih
536,Kaget ini iteung jangan ngegas dong huhuhuhu,sedih
537,Ngga sanggup apa ni,sedih
538,Sudah miss,sedih
539,Ga boleh gituu :(,sedih
540,Gangerti mulu:(,sedih
541,Udah mulai local lockdown mas,sedih
542,Beberapa jalan ditutup,sedih
543,Kaya jalan asia afrika udah di barikade dan polisi berjaga disitu,sedih
544,kok aku ga ada,sedih
545,Agama blum bu,sedih
546,bukan nambah kodingan kan?,sedih
547,"""pril :""""""",sedih
548,"""Jangan egois dong:( masa iteung mulu yang ngertiin kamu.. iteung juga kan mau dimengerti hiks :""""""",sedih
549,Aku ko ga ditulis teung?,sedih
550,jangan sedih atuh iteung,sedih
551,Kasihan iteung,sedih
552,Maaf pak saya sudah dowload aplikasi nya tapi aplikasi nya error,sedih
553,Yah aku belum download yang sap 7.30:(,sedih
554,Sama:(,sedih
555,"""6184127 Fitri pak saya selalu ga bisa log in""",sedih
556,Mohon arahannya pak,sedih
557,Tau ah gangerti:(,sedih
558,Izin bertanya. Pengumpulan exercise masih tidak ada batas waktu pak?,sedih
559,Gangerti buu:(,sedih
560,dimana nya bu :(,sedih
561,Pa maaf ko saya ini gk bisa yaa?,sedih
562,Mulai lagi pak,percaya
563,udah bener semuanya tinggal si hari nya aja,percaya
564,saya lupa kadek kan lagi nyepi berarti kita bisa meeting lusa,percaya
565,iya kamis,percaya
566,Biar enak angha testingnya,percaya
567,oke bentar,percaya
568,Oke pak terima kasih,percaya
569,dah,percaya
570,Yg kemaren tambahin juga ya pak,percaya
571,iya semua kemunmgkinan,percaya
572,akses langsung update database aja ga,percaya
573,oh iya,percaya
574,bentar,percaya
575,pake yang itu ga,percaya
576,buat ngupdate tabel mst_mahasiswa,percaya
577,Oh bentar pak,percaya
578,kalo udah beres jangan lupa issues nya di close,percaya
579,close nya pake commit,percaya
580,oje,percaya
581,Ya,percaya
582,Yang kapita selekta,percaya
583,Jadi di tiap dosen itu ga ada matakuliah kapita selekta,percaya
584,Sama sekarang 2,percaya
585,input manual aja sampai kemaren ga,percaya
586,ya udah say hai aja sini kalian di grup ini,percaya
587,Oke pak,percaya
588,khusus buat kadek aja saya inputin manual. sisanya silahkan gunakan stiker yang paling unik dari masing2,percaya
589,Pak angga push kode abis itu coba bapa cek ya pak apa yg harus dipindahin,percaya
590,sok,percaya
591,Udah pak,percaya
592,saya bikin selesai kelas ya uji coba masuk ga,percaya
593,oh oke dicoba,percaya
594,berarti laporannya harusnya diambil dari siap ya biar ketahuan,percaya
595,oke coba lagi,percaya
596,oke dicoba lagi,percaya
597,sip pak,percaya
598,oke ya,percaya
599,ojeh,percaya
600,oke pa,percaya
601,Baik pak terimakasih,percaya
602,okok pak,percaya
603,Baik pa,percaya
604,untuk nama2 nya dalam struktur organisasi silahkan pilih nama temen2 sendiri (siapa yg sesuai/cocok mengisi bagian dlm struktur organisasi),percaya
605,Bisa silahkan,percaya
606,Gampang,percaya
607,Oke klw gt KM download di VL saya modul pertemuan 5,percaya
608,Trus kirim ke sini,percaya
609,Baik bapak laksanakan,percaya
610,"""Nanti kalo permasalahan corona sudah selesai dan sudah masuk seperti biasa hubungi saya akan dapat sesuatu..""",percaya
611,oke gpp,percaya
612,di coba terus sampai muncul namanya,percaya
613,Hayu sholat sholat,percaya
614,"""Assalamualaikum pa sy kirim proposal nya tolong Di koreksi kalau sudah selesai tolong kirim ke bu nisa""",percaya
615,Ngaku kesalahan,percaya
616,main billiard muluh sih brayy,percaya
617,Bisa kan pak,percaya
618,kalem di backup ku saya. gantian ngeronda na,percaya
619,anak bimbingan saya sebenarnya udah bisa semua,percaya
620,Soalnya VA berhasil bakalan buming nama TIK produk inovasinya semakin meraja lela,percaya
621,Yo wes biarin aja,percaya
622,langsung lanjut ke 4.6,percaya
623,ada pertanyaan?,percaya
624,Wah Alhamdulillah belum berumah tangga,percaya
625,Klw gak aktif jgn direkam,percaya
626,Ide anggabudah babgus dan luar biasa,percaya
627,satu lagi din bikin modul ngecek disk usage si iteung,percaya
628,Klw kebutuhan query info aja dinda disini gpp,percaya
629,Kan TIM jd bagi bagi tugas,percaya
630,Biar fokus,percaya
631,yang lain boleh ikut gabung juga,percaya
632,Yg sudah absen silahkan kumpulkan tugas di vl,percaya
633,oh santai....,percaya
634,gapapa,percaya
635,Bebas,percaya
636,Yg pentinf visio,percaya
637,Coba aja bapa ambil contoh pesan errornya,percaya
638,Okok bentar saya coba dulu,percaya
639,saatnya mengecek kerjaan proyek 1,percaya
640,tar saya liatin dulu,percaya
641,tapi bagus,percaya
642,beneran keren kreatif,percaya
643,Iya betul,percaya
644,Bu maaf mau bertanya ini menggunakan nomor hp atau nomor wa,percaya
645,"""Anak2 boleh coba comment nanti ITeung akan mengabsen""",percaya
646,"""Anak2 boleh coba komunikasi dg Iteung mesti ada kata2 Iteung""",percaya
647,Stay safe miss,percaya
648,Kayanya ketik namanya aja,percaya
649,Silahkan masukkan no wa ke profil di siap format pake 62 tanpa menggunakan +,percaya
650,di kolom handphone bukan telepon yah,percaya
651,saya tunggu tanggapannya,percaya
652,KM tolong dinpantau kawanmu disini semua,percaya
653,Yg belum bangun segera.bangunkan KM,percaya
654,Dwnload dl materinya di siap ya,percaya
655,"""Hayu atu gas yakali ga hayyuuuuu""",percaya
656,Semoga kita di jauhkan dengan virus dan di dekatkan dengan yang serius teung,percaya
657,Sesi tanya jawab dibuka ya teman2,percaya
